Company,Gross Profit,Total Assets
BHN,0.8666666666666671,-2.28
HAD,6.243333333333335,-2.2899999999999996
HAT,60.876666666666665,7.1499999999999995
SAB,13.38,17.3
SCD,-11.423333333333332,39.03666666666667
SMB,3.9900000000000007,7.263333333333333
THB,-4.37,2.0566666666666666
VCF,-15.24,-1.5566666666666666
VDL,-41.163333333333334,-6.82
